,is_known_outlier,MSSubClass_20.0,MSSubClass_30.0,MSSubClass_40.0,MSSubClass_45.0,MSSubClass_50.0,MSSubClass_60.0,MSSubClass_70.0,MSSubClass_75.0,MSSubClass_80.0,MSSubClass_85.0,MSSubClass_90.0,MSSubClass_120.0,MSSubClass_150.0,MSSubClass_160.0,MSSubClass_180.0,MSSubClass_190.0,MSSubClass_nan,LotFrontage,LotFrontage_isbad,LotArea,LotArea_isbad,OverallQual,OverallQual_1to4,OverallQual_3to7,OverallQual_6to9,OverallQual_10,OverallCond,OverallCond_1to4,OverallCond_5,OverallCond_6to9,YearBuilt,YearBuilt_veryold,YearBuilt_verynew,YearRemodAdd,YearRemodAdd_bad,MasVnrArea,MasVnrArea_isbad,MasVnrType__BrkCmn,MasVnrType__BrkFace,MasVnrType__None,MasVnrType__Stone,MasVnrType__nan,TotalBsmtSF,BsmtFinType__ALQ,BsmtFinType__BLQ,BsmtFinType__GLQ,BsmtFinType__LwQ,BsmtFinType__Rec,BsmtFinType__Unf,BsmtFinType__nan,Street__Grvl,Street__Pave,Alley__Grvl,Alley__Pave,Alley__nan,LotShape__IR1,LotShape__IR2,LotShape__IR3,LotShape__Reg,LotShape__nan
1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65.0,False,8450,False,7,False,True,True,False,5,False,True,False,2003,False,False,2003,False,196.0,False,0,1,0,0,0,856.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,False,9600,False,6,False,True,True,False,8,False,False,True,1976,False,False,1976,False,0.0,True,0,0,1,0,0,1262.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0,False,11250,False,7,False,True,True,False,5,False,True,False,2001,False,False,2002,False,162.0,False,0,1,0,0,0,920.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
4,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.0,False,9550,False,7,False,True,True,False,5,False,True,False,1915,False,False,1970,False,0.0,True,0,0,1,0,0,756.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
5,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84.0,False,14260,False,8,False,False,True,False,5,False,True,False,2000,False,False,2000,False,350.0,False,0,1,0,0,0,1145.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
6,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.0,False,14115,False,5,False,True,False,False,5,False,True,False,1993,False,False,1995,False,0.0,True,0,0,1,0,0,796.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
7,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,False,10084,False,8,False,False,True,False,5,False,True,False,2004,False,False,2005,False,186.0,False,0,0,0,1,0,1686.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
8,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,10382,True,7,False,True,True,False,6,False,False,True,1973,False,False,1973,False,240.0,True,0,0,0,1,0,1107.0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
9,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51.0,False,6120,False,7,False,True,True,False,5,False,True,False,1931,False,False,1950,True,0.0,True,0,0,1,0,0,952.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
10,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0,False,7420,False,5,False,True,False,False,6,False,False,True,1939,False,False,1950,True,0.0,True,0,0,1,0,0,991.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
11,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,False,11200,False,5,False,True,False,False,5,False,True,False,1965,False,False,1965,False,0.0,True,0,0,1,0,0,1040.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
12,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85.0,False,11924,False,9,False,False,True,False,5,False,True,False,2005,False,False,2006,False,286.0,False,0,0,0,1,0,1175.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
13,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,12968,True,5,False,True,False,False,6,False,False,True,1962,False,False,1962,False,0.0,True,0,0,1,0,0,912.0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
14,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,False,10652,False,7,False,True,True,False,5,False,True,False,2006,False,False,2007,False,306.0,False,0,0,0,1,0,1494.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
15,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,10920,True,6,False,True,True,False,5,False,True,False,1960,False,False,1960,False,212.0,True,0,1,0,0,0,1253.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
16,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,False,6120,False,7,False,True,True,False,8,False,False,True,1929,False,False,2001,False,0.0,True,0,0,1,0,0,832.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
17,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,11241,True,6,False,True,True,False,7,False,False,True,1970,False,False,1970,False,180.0,True,0,1,0,0,0,1004.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
18,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.0,False,10791,False,4,True,True,False,False,5,False,True,False,1967,False,False,1967,False,0.0,True,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
19,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,False,13695,False,5,False,True,False,False,5,False,True,False,2004,False,False,2004,False,0.0,True,0,0,1,0,0,1114.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
20,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,False,7560,False,5,False,True,False,False,6,False,False,True,1958,False,False,1965,False,0.0,True,0,0,1,0,0,1029.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
21,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101.0,False,14215,False,8,False,False,True,False,5,False,True,False,2005,False,False,2006,False,380.0,False,0,1,0,0,0,1158.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
22,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,False,7449,False,7,False,True,True,False,7,False,False,True,1930,False,False,1950,True,0.0,True,0,0,1,0,0,637.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
23,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,False,9742,False,8,False,False,True,False,5,False,True,False,2002,False,False,2002,False,281.0,False,0,1,0,0,0,1777.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
